base_id,base_key,latitude,longitude,poi_Transportation Facilities,poi_Leisure & Entertainment,poi_Companies & Enterprises,poi_Healthcare,poi_Commercial & Residential,poi_Tourist Attractions,poi_Automotive,poi_Life Services,poi_Science & Education & Culture,poi_Shopping & Consumer Goods,poi_Sports & Fitness,poi_Hotels & Accommodations,poi_Financial Institutions,poi_Dining & Cuisine
65,Base_3610000B0222,31.24185181,121.51554108,53,8,41,19,33,0,3,108,19,105,3,39,12,72
66,Base_3610000B0231,31.22934151,121.44443512,67,17,150,41,58,14,16,160,65,182,30,25,46,213
67,Base_3610000B0241,31.22507286,121.48473358,62,12,16,7,43,14,4,51,18,174,5,35,11,76
68,Base_3610000B0242,31.22265434,121.48607635,33,11,14,7,41,20,3,59,25,161,7,30,5,81
69,Base_3610000B0251,31.22944641,121.45070648,61,17,107,18,69,14,4,207,67,517,27,68,42,225
70,Base_3610000B0252,31.22582245,121.45184326,45,21,84,11,53,8,4,71,60,136,17,51,9,108
71,Base_3610000B0253,31.2250824,121.44851685,32,15,81,9,35,9,8,60,46,98,8,40,17,102
72,Base_3610000B0261,31.22301865,121.44250488,81,21,103,22,43,38,10,110,23,324,17,19,30,196
73,Base_3610000B0262,31.22079086,121.44760895,20,37,32,13,74,10,4,61,30,177,13,48,0,140
74,Base_3610000B0263,31.22006226,121.4417572,60,16,53,43,69,9,5,86,27,91,8,41,26,121
75,Base_3610000B0271,31.24328041,121.45825195,48,1,32,5,43,3,6,65,22,43,6,11,2,30
76,Base_3610000B0272,31.2384491,121.45707703,46,15,57,17,47,14,3,90,24,63,18,16,20,49
77,Base_3610000B0273,31.23693275,121.45278168,40,20,40,21,60,6,6,138,15,88,23,19,18,58
78,Base_3610000B0291,31.22925758,121.50267792,17,7,6,1,6,3,0,7,5,3,7,2,6,9
79,Base_3610000B02A1,31.24696541,121.4876709,42,13,41,3,26,12,9,23,5,21,4,55,17,53
80,Base_3610000B02A2,31.22183609,121.43863678,67,19,71,46,52,10,10,152,39,98,9,37,24,87
81,Base_3610000B02B1,31.23118782,121.51249695,88,41,162,59,37,0,26,372,116,1122,56,30,60,579
82,Base_3610000B02B2,31.22361565,121.48664093,47,11,11,9,44,5,4,62,23,147,7,36,10,87
83,Base_3610000B02C1,31.21664238,121.44004822,31,12,52,50,80,3,2,130,41,160,10,29,16,105
84,Base_3610000B02D1,31.23851585,121.50740814,81,0,101,40,32,1,8,78,18,46,3,14,87,66
85,Base_3610000B02D2,31.23568344,121.50912476,68,6,65,9,33,3,10,151,20,240,5,24,45,187
86,Base_3610000B02D3,31.23651314,121.50449371,61,4,92,12,24,12,11,81,22,57,11,11,92,102
87,Base_3610000B02E1,31.24110794,121.47315216,46,12,235,6,60,4,2,90,24,330,2,22,16,117
88,Base_3610000B02E2,31.27799416,121.54096222,27,4,66,8,35,0,11,50,35,73,14,9,4,142
89,Base_3610000B02E3,31.22183418,121.43934631,67,20,75,40,56,16,11,142,35,102,8,37,33,101
90,Base_3610000B0301,31.22509193,121.44259644,94,19,153,38,45,42,24,238,37,796,25,13,55,334
91,Base_3610000B0303,31.22119522,121.43740845,53,20,67,48,47,4,7,126,54,75,6,35,18,75
92,Base_3610000B0311,31.3167057,121.52748871,17,1,5,10,14,1,3,67,9,132,3,7,3,41
93,Base_3610000B0312,31.31818581,121.52748108,17,4,8,12,10,1,3,76,10,143,3,3,10,52
94,Base_3610000B0313,31.31643677,121.52764893,16,2,5,12,13,2,3,67,9,143,2,11,3,45
95,Base_3610000B0321,31.30760956,121.52752686,18,1,5,8,15,0,5,26,3,26,3,9,3,20
96,Base_3610000B0322,31.23855972,121.44541931,53,25,65,32,47,3,4,90,42,132,12,16,6,106
97,Base_3610000B0323,31.24420738,121.50717926,44,5,40,12,20,7,26,46,13,74,13,5,40,78
98,Base_3610000B0331,31.23740768,121.44869995,63,27,96,19,53,5,7,84,43,92,33,24,14,79
99,Base_3610000B0332,31.22639847,121.46640015,59,8,58,22,42,17,13,82,23,201,9,23,23,110
100,Base_3610000B0341,31.21603203,121.44059753,27,11,54,46,82,5,3,134,36,189,12,30,17,104
101,Base_3610000B0342,31.21344566,121.44533539,42,12,37,19,54,10,0,37,30,133,9,27,14,52
102,Base_3610000B0343,31.21136093,121.44216919,40,12,25,4,54,7,1,39,43,109,7,25,7,60
103,Base_3610000B0351,31.23324013,121.45652771,67,20,106,44,49,12,18,153,48,327,20,30,29,161
104,Base_3610000B0352,31.22438049,121.43312836,12,2,24,10,63,12,3,41,17,108,12,24,4,75
105,Base_3610000B0361,31.22688675,121.43328094,15,6,23,13,41,4,2,48,16,106,10,15,3,66
106,Base_3610000B0362,31.22315025,121.43617249,50,22,65,32,57,13,9,155,32,125,9,39,11,106
107,Base_3610000B0363,31.22333145,121.43152618,17,4,44,13,66,9,2,48,21,98,9,30,9,64
108,Base_3610000B0371,31.21848679,121.43833923,44,20,25,74,61,3,7,186,63,91,9,31,12,87
109,Base_3610000B0372,31.21634483,121.44033051,29,12,53,49,83,4,3,136,40,180,10,28,17,113
110,Base_3610000B0373,31.21401978,121.43772125,32,10,19,0,84,9,4,28,24,115,6,17,5,51
111,Base_3610000B03A1,31.22893906,121.44228363,60,10,119,31,54,13,15,155,56,192,14,16,41,182
112,Base_3610000B03A2,31.2286377,121.44743347,70,16,151,26,60,15,9,146,56,353,31,46,52,204
113,Base_3610000B03A3,31.22572136,121.44395447,82,20,155,23,42,38,27,211,38,795,20,10,38,349
114,Base_3610000B03B1,31.23267365,121.4522171,83,21,109,29,79,8,11,178,54,338,24,58,28,256
115,Base_3610000B03B2,31.23128319,121.45385742,69,22,101,19,76,9,9,176,54,357,19,60,21,230
116,Base_3610000B03B3,31.23150063,121.45069122,66,21,132,28,74,12,9,215,50,505,25,76,42,242
117,Base_3610000B03C1,31.22553635,121.4591217,56,36,29,28,45,9,9,69,30,126,15,23,14,102
118,Base_3610000B03C2,31.22191238,121.46232605,40,17,50,5,79,23,4,98,44,266,10,53,9,151
119,Base_3610000B03C3,31.22083473,121.45872498,43,25,63,14,74,6,6,99,31,230,13,47,16,170
120,Base_3610000B03D1,31.23825073,121.46546936,63,12,54,21,73,7,5,95,22,165,7,70,27,106
121,Base_3610000B03D2,31.23489761,121.46221161,65,16,146,59,51,5,21,167,58,129,15,39,40,125
122,Base_3610000B03D3,31.23672104,121.46154022,25,8,52,28,45,5,8,95,22,109,11,42,13,41
123,Base_3610000B03E1,31.23024368,121.46258545,71,15,50,39,62,0,14,64,30,103,13,34,20,92
124,Base_3610000B03E2,31.22661781,121.46468353,57,8,28,11,32,21,1,49,7,61,7,16,14,72
125,Base_3610000B03E3,31.22772598,121.46329498,55,14,45,21,42,12,4,50,16,62,11,14,20,84
126,Base_3610000B03F1,31.22628593,121.47223663,90,41,94,50,39,13,31,106,29,307,27,10,26,167
127,Base_3610000B03F2,31.22359848,121.47244263,100,32,103,50,45,20,32,134,37,324,27,11,29,228
128,Base_3610000B03F3,31.22456169,121.47058105,97,28,140,46,52,18,45,167,46,370,27,24,46,236
129,Base_3610000B0401,31.23418808,121.47368622,118,52,179,25,63,9,19,259,77,555,33,130,47,411
130,Base_3610000B0402,31.23285675,121.47441101,102,32,198,21,60,7,20,158,63,377,19,51,49,297
131,Base_3610000B0403,31.23137665,121.47284698,70,21,68,5,27,14,10,59,30,164,9,18,25,179
132,Base_3610000B0411,31.23927689,121.48082733,94,23,127,43,75,28,10,190,57,754,25,112,64,338
133,Base_3610000B0412,31.23685074,121.48162842,70,14,138,45,72,24,14,119,46,289,15,148,43,166
134,Base_3610000B0413,31.23755074,121.48107147,74,21,133,50,63,22,10,158,56,476,20,77,58,231
135,Base_3610000B0421,31.23086739,121.48233032,60,5,63,31,41,5,2,54,16,363,4,27,12,36
136,Base_3610000B0422,31.22934723,121.4827652,50,4,24,27,40,8,2,41,10,385,4,24,5,45
137,Base_3610000B0423,31.22853661,121.47782898,64,32,123,24,80,8,15,102,34,136,17,38,33,178
138,Base_3610000B0431,31.22786331,121.48833466,28,9,8,11,53,82,2,54,26,715,5,9,7,122
139,Base_3610000B0432,31.22402382,121.49008942,17,3,5,4,40,2,0,39,15,98,1,18,3,33
140,Base_3610000B0433,31.22604561,121.48731232,46,15,11,9,51,41,4,57,31,223,7,22,9,94
141,Base_3610000B0441,31.22388268,121.49318695,30,3,15,10,47,4,6,68,14,125,4,28,7,47
142,Base_3610000B0442,31.22411919,121.49853516,60,0,37,6,20,2,2,21,6,20,4,5,19,12
143,Base_3610000B0443,31.22174644,121.48957825,14,0,12,7,33,5,0,37,10,68,3,14,1,19
144,Base_3610000B0451,31.2148037,121.44241333,41,12,67,12,87,6,3,52,32,199,9,38,24,106
145,Base_3610000B0461,31.23215866,121.47922516,71,18,123,19,69,1,13,82,29,88,13,120,22,93
146,Base_3610000B0463,31.21321678,121.44355011,39,14,36,15,67,7,0,45,33,171,5,30,16,91
147,Base_3610000B0471,31.22481155,121.45014191,35,24,78,13,42,9,5,69,69,120,18,43,9,107
148,Base_3610000B0473,31.2352829,121.44508362,61,36,82,32,82,5,5,102,48,163,11,19,15,132
149,Base_3610000B0481,31.22248459,121.46703339,79,19,58,46,63,20,15,116,45,313,10,39,29,162
150,Base_3610000B0482,31.22065926,121.46890259,66,23,73,35,55,18,17,122,25,293,8,47,22,139
151,Base_3610000B0483,31.21743965,121.46642303,25,20,13,16,36,29,4,55,38,92,7,64,3,77
152,Base_3610000B04A1,31.22489738,121.46342468,46,21,19,11,49,25,3,59,14,147,9,32,7,120
153,Base_3610000B04A2,31.21836472,121.46640778,26,21,25,23,37,29,3,57,40,105,6,63,6,82
154,Base_3610000B04A3,31.21891212,121.4578476,41,28,68,16,75,9,5,96,28,263,14,63,11,207
155,Base_3610000B04B1,31.22131348,121.4886322,10,5,12,10,33,2,0,42,13,83,4,10,1,21
156,Base_3610000B04B2,31.22318649,121.49495697,49,3,14,13,40,5,5,69,15,99,5,18,10,41
157,Base_3610000B04C1,31.2215004,121.48001862,41,6,51,10,53,6,1,47,20,132,7,18,25,77
158,Base_3610000B04C2,31.2209816,121.48304749,19,5,27,13,53,30,1,56,22,172,3,15,6,92
159,Base_3610000B04C3,31.2204113,121.47885895,46,9,56,12,56,6,2,79,25,153,17,25,28,91
160,Base_3610000B04D1,31.24977684,121.45118713,86,8,84,6,11,4,15,113,8,414,5,25,19,127
161,Base_3610000B04D2,31.24982643,121.45114899,86,8,86,6,11,4,15,112,7,414,5,24,19,129
162,Base_3610000B04E1,31.24398994,121.45378113,101,12,167,19,51,4,13,131,43,81,24,18,44,91
163,Base_3610000B04F1,31.24084091,121.46300507,33,10,42,11,56,5,3,51,18,127,6,29,15,50
164,Base_3610000B04F2,31.22270393,121.44002533,85,30,108,45,50,34,13,194,34,204,16,37,30,193
165,Base_3610000B0501,31.23514748,121.47027588,88,49,85,27,30,32,14,218,50,1170,33,39,30,357
166,Base_3610000B0502,31.23516464,121.47031403,87,50,85,27,31,32,14,224,51,1178,34,38,30,360
167,Base_3610000B0503,31.21963882,121.45811462,41,21,64,14,67,9,3,99,23,226,13,53,11,182
168,Base_3610000B0511,31.22496223,121.46875,93,17,119,39,46,14,30,132,40,323,22,23,33,186
169,Base_3610000B0521,31.21903419,121.45514679,57,15,70,37,49,8,9,177,24,538,17,51,16,237
170,Base_3610000B0523,31.23404312,121.5186615,40,3,73,10,28,2,7,57,25,39,6,14,42,36
171,Base_3610000B0531,31.21536636,121.44638824,34,6,36,20,79,12,1,42,30,146,5,35,22,57
172,Base_3610000B0541,31.20675087,121.44221497,42,13,23,4,64,15,5,35,30,78,9,25,9,68
173,Base_3610000B0551,31.19513321,121.43437958,107,28,212,31,51,10,25,223,100,1336,32,17,46,385
174,Base_3610000B0552,31.1950798,121.43416595,104,26,213,31,50,10,24,217,99,1335,30,17,47,343
175,Base_3610000B0561,31.18340683,121.43177032,44,3,41,7,14,1,9,54,39,131,19,7,4,48
176,Base_3610000B0571,31.17030907,121.43022156,43,22,93,41,51,0,3,147,41,165,22,15,10,176
177,Base_3610000B0581,31.22001839,121.41235352,78,45,90,27,42,9,41,267,81,943,52,45,29,420
178,Base_3610000B0591,31.22083855,121.42723846,43,5,62,18,72,5,7,91,42,82,8,15,21,90
179,Base_3610000B05A1,31.22491264,121.44158936,103,24,116,36,44,42,26,237,43,738,23,15,48,324
180,Base_3610000B05A3,31.2410984,121.49752045,72,23,73,8,18,60,14,94,19,303,20,2,80,187
181,Base_3610000B05B1,31.23172188,121.45461273,73,23,77,17,75,8,10,174,49,341,16,57,18,220
182,Base_3610000B05B2,31.23334312,121.51673126,48,18,119,18,33,1,12,117,43,173,22,16,72,243
183,Base_3610000B05B3,31.23711967,121.50429535,62,5,122,24,25,13,13,75,24,52,11,9,116,104
184,Base_3610000B05C1,31.23540878,121.46888733,68,45,53,21,39,28,14,223,37,1042,27,44,23,338
185,Base_3610000B05C3,31.22628975,121.44805145,54,12,119,17,39,13,9,69,45,148,14,32,33,105
186,Base_3610000B05D1,31.23882675,121.47890472,99,28,137,52,72,19,12,223,44,924,31,97,43,350
187,Base_3610000B05D2,31.23920631,121.48108673,91,21,135,42,77,28,11,184,65,691,22,101,68,333
188,Base_3610000B05D3,31.23893547,121.47911835,101,29,147,52,71,19,13,225,44,924,33,105,43,353
189,Base_3610000B05E1,31.24010658,121.49764252,88,24,57,11,17,55,12,108,17,461,28,7,68,218
190,Base_3610000B05E2,31.23661804,121.4801178,84,21,162,50,60,20,17,159,45,520,27,144,44,200
191,Base_3610000B05E3,31.23942757,121.49892426,83,6,80,16,19,11,13,70,10,324,13,4,84,136
192,Base_3610000B05F1,31.23553276,121.51040649,59,10,59,11,34,1,10,148,24,267,6,17,51,202
193,Base_3610000B05F2,31.22522926,121.45463562,48,34,60,16,63,8,11,88,63,196,20,46,11,157
194,Base_3610000B05F3,31.22554779,121.45431519,49,30,58,11,61,8,11,87,61,195,19,50,7,152
195,Base_3610000B0601,31.23106003,121.52189636,67,33,192,27,28,6,25,190,42,385,29,17,102,379
196,Base_3610000B0611,31.22136879,121.53910065,23,4,6,1,0,5,5,14,5,27,0,8,3,12
197,Base_3610000B0621,31.2110672,121.54714966,57,1,6,6,24,2,3,54,16,39,5,9,9,29
198,Base_3610000B0631,31.20501518,121.55332947,55,7,14,9,4,1,5,48,26,88,21,12,2,77
199,Base_3610000B0641,31.23444939,121.45046234,61,30,114,31,63,8,8,111,40,101,28,37,21,130
200,Base_3610000B0642,31.21577644,121.46011353,22,18,11,40,43,11,3,65,25,93,4,39,10,67
201,Base_3610000B0651,31.25395584,121.49680328,36,7,25,1,31,4,2,23,6,33,2,12,8,39
202,Base_3610000B0671,31.21681023,121.4516983,62,19,99,39,68,6,11,166,47,423,17,29,38,201
203,Base_3610000B0672,31.23780251,121.47372437,99,60,161,45,71,15,10,293,58,998,31,147,28,462
204,Base_3610000B0673,31.2250042,121.49414825,44,5,41,11,40,6,3,90,13,133,6,29,17,45
205,Base_3610000B0681,31.22400665,121.47875214,30,6,26,8,59,7,2,38,16,73,6,9,16,23
206,Base_3610000B0682,31.22011757,121.47938538,50,9,48,14,61,5,2,80,23,155,17,27,26,91
207,Base_3610000B0691,31.22781372,121.45333099,45,14,73,11,68,13,6,104,55,186,15,62,12,148
208,Base_3610000B0692,31.22104836,121.43701935,49,18,54,54,48,6,7,144,51,61,3,29,14,67
209,Base_3610000B0693,31.22090149,121.43507385,39,6,34,41,54,11,6,118,41,70,6,23,7,56
210,Base_3610000B06A1,31.23264694,121.50574493,34,7,24,6,22,0,1,56,15,41,8,22,12,58
211,Base_3610000B06A3,31.2175808,121.44739532,26,20,33,20,80,15,0,42,33,165,7,35,12,100
212,Base_3610000B06B1,31.24145889,121.47692108,56,13,143,19,56,9,3,131,29,354,11,87,28,197
213,Base_3610000B06C1,31.22450829,121.45265198,37,40,80,20,63,6,5,84,52,201,23,49,11,172
214,Base_3610000B06C2,31.31642532,121.52732849,16,2,5,12,12,1,3,67,9,141,3,11,3,44
215,Base_3610000B06C3,31.30742645,121.52755737,18,1,6,8,15,0,5,28,3,28,3,8,3,21
216,Base_3610000B06D1,31.24063873,121.44367981,40,4,32,32,46,4,1,73,26,111,6,16,5,65
217,Base_3610000B06D2,31.23713684,121.44508362,54,30,80,28,68,4,5,108,48,157,11,18,7,99
218,Base_3610000B06D3,31.23814583,121.44283295,48,24,44,37,60,2,6,87,38,145,9,20,5,107
219,Base_3610000B06E1,31.2317009,121.50226593,28,8,11,0,9,2,1,8,4,3,7,8,6,4
220,Base_3610000B06E2,31.24842453,121.48161316,58,7,78,4,53,12,23,155,17,175,10,35,28,114
221,Base_3610000B06E3,31.24638939,121.47948456,61,4,85,9,49,7,18,167,20,935,6,56,18,150
222,Base_3610000B06F1,31.23716736,121.50754547,58,1,79,25,29,2,7,73,16,53,3,18,70,88
223,Base_3610000B06F2,31.23340416,121.47502899,109,34,226,26,75,7,19,211,86,408,28,111,59,318
224,Base_3610000B0701,31.23630524,121.47221375,103,67,140,45,53,25,18,312,72,1367,40,130,34,566
225,Base_3610000B0703,30.97515869,121.81046295,6,1,7,8,1,0,8,21,1,55,0,0,0,12
226,Base_3610000B0711,31.23325348,121.4614563,71,19,141,64,47,2,21,161,56,210,19,51,32,116
227,Base_3610000B0712,31.22593689,121.44075012,105,33,116,44,52,43,29,301,49,689,28,38,47,383
228,Base_3610000B0721,31.22714615,121.45298004,47,14,66,9,64,14,8,90,59,159,16,69,6,120
229,Base_3610000B0723,31.22200584,121.4392395,72,20,77,43,56,15,13,155,33,115,8,44,31,102
230,Base_3610000B0731,31.2260704,121.44580078,74,20,176,17,42,18,17,125,50,312,15,21,51,201
231,Base_3610000B0741,31.23763847,121.47853851,102,31,134,56,68,16,12,219,53,797,31,72,50,313
232,Base_3610000B0742,31.11226463,121.26592255,4,0,8,4,8,1,4,21,3,42,0,1,0,21
233,Base_3610000B0743,31.1087532,121.24967957,9,1,2,2,5,0,2,15,1,6,2,0,2,1
234,Base_3610000B0751,31.23057175,121.46917725,46,13,9,3,11,16,2,42,15,223,8,9,2,92
235,Base_3610000B0761,31.23814011,121.51737213,22,4,21,13,27,2,1,84,16,118,4,26,4,65
236,Base_3610000B0771,31.22970581,121.44921875,66,17,110,31,72,18,6,185,44,425,38,61,49,253
237,Base_3610000B0773,31.22662354,121.47631073,72,45,140,39,64,11,22,109,35,202,20,20,32,170
238,Base_3610000B0781,31.2201767,121.35501862,52,3,61,3,32,1,10,41,9,72,10,7,17,121
239,Base_3610000B0791,31.21849251,121.36876678,41,3,35,24,29,1,5,56,32,133,9,7,9,98
240,Base_3610000B07A1,31.23087692,121.45204926,73,22,131,29,80,13,14,212,56,458,23,80,35,294
241,Base_3610000B07A3,31.01522827,121.20355988,20,8,19,9,17,0,7,62,12,87,3,12,8,56
242,Base_3610000B07B1,31.23729706,121.50150299,78,6,118,28,18,17,16,90,26,162,17,5,118,161
243,Base_3610000B07B2,31.23713684,121.5013504,81,6,99,28,18,15,16,92,24,186,17,5,106,168
244,Base_3610000B07C1,31.22589684,121.47537231,73,45,103,37,66,6,24,82,27,193,18,18,31,138
245,Base_3610000B07C2,31.2213459,121.44500732,31,23,51,9,55,16,6,56,20,98,5,30,18,108
246,Base_3610000B07D1,31.23631287,121.47398376,112,55,152,45,65,18,16,292,71,961,35,157,41,553
247,Base_3610000B07D2,31.2078743,121.40703583,39,4,22,3,23,3,4,41,22,30,5,11,2,23
248,Base_3610000B07E1,31.21684837,121.38250732,39,9,18,20,18,0,4,67,43,121,22,9,21,118
249,Base_3610000B07F1,31.22886276,121.50988007,58,14,81,43,24,0,9,183,77,583,42,40,22,198
250,Base_3610000B07F2,31.22966576,121.5114212,83,34,125,57,36,0,18,301,105,858,49,37,34,408
251,Base_3610000B07F3,31.22941017,121.51077271,72,20,98,51,32,0,15,235,81,761,38,35,34,286
252,Base_3610000B0811,31.23155975,121.51237488,91,44,163,56,35,0,26,379,112,1129,54,20,60,575
253,Base_3610000B0821,31.21277046,121.39924622,55,24,62,27,47,1,14,190,59,405,30,24,22,337
254,Base_3610000B0831,31.22096443,121.46917725,71,26,55,35,52,20,22,126,23,296,8,49,22,142
255,Base_3610000B0851,31.2552433,121.48738861,49,2,34,35,45,8,7,87,23,90,4,14,7,27
256,Base_3610000B0852,31.25201035,121.48898315,53,4,54,7,40,3,20,148,10,78,4,27,15,15
257,Base_3610000B0853,31.25132561,121.48521423,51,8,67,5,55,8,11,139,21,74,1,64,22,98
258,Base_3610000B0861,31.25345039,121.49542236,40,10,61,3,30,5,3,67,9,86,10,4,25,88
259,Base_3610000B0862,31.25342178,121.49811554,39,6,38,0,29,7,2,26,9,17,3,17,17,20
260,Base_3610000B0863,31.25151825,121.49654388,35,14,49,1,28,7,4,56,5,65,13,4,29,82
